Country code,Country name,Series code,Series name,SCALE
GNQ,Equatorial Guinea,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRC,Greece,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRD,Grenada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GRL,Greenland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GTM,Guatemala,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GUM,Guam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
GUY,Guyana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HIC,High income,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HKG,"Hong Kong SAR, China",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HND,Honduras,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HRV,Croatia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HTI,Haiti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
HUN,Hungary,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IDN,Indonesia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IMY,Isle of Man,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IND,India,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRL,Ireland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRN,"Iran, Islamic Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
IRQ,Iraq,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ISL,Iceland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ISR,Israel,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
ITA,Italy,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0
